PC1,PC2,Activity
-16.127876071372462,2.1650659285337266,STANDING
-15.285528942770089,1.4004382188957694,STANDING
-15.126334271872926,2.4868069392550014,STANDING
-15.340192204866662,3.929089797526613,STANDING
-15.534145855923146,4.611813230613833,STANDING
-15.348442539660363,4.738042028774964,STANDING
-14.889975503007822,3.1701259332568914,STANDING
-15.218070244809393,2.0936682357248477,STANDING
-15.490028536448133,3.2412690896860052,STANDING
-14.087917670464652,2.5517949510475546,STANDING
-14.315139813295222,3.26723421363934,STANDING
-16.132062312313156,7.437415006193143,STANDING
-16.032868848944606,7.003637934065248,STANDING
-15.976565577274206,8.310416519841857,STANDING
-12.35754760737665,-6.366524654595151,STANDING
-15.14621325125861,-0.7147178726813502,STANDING
-15.459101367691641,1.2030632811098612,STANDING
-15.385930227027272,3.0208450483492912,STANDING
-15.408047898739664,5.770929744281052,STANDING
-15.954640747539715,6.213383221126807,STANDING
-16.19415665158927,9.443411634306475,STANDING
-16.528551306768566,10.753319012853133,STANDING
-15.963534399376725,8.701092410242145,STANDING
-16.043614837902272,8.092546784380866,STANDING
-15.929879484583848,7.692810363747821,STANDING
-15.926276519270997,7.843071281431453,STANDING
-16.32418371649605,9.827683233648333,STANDING
-6.99868237569309,-12.516749678343444,SITTING
-14.67851083206586,-4.4538967558833065,SITTING
-15.486705733402463,0.4976411884675589,SITTING
-4.099446870393222,-11.762008138416086,SITTING
-2.4342450539801135,-15.619583718114578,SITTING
-6.8600571950461475,-12.786247702057645,SITTING
-13.604606038832122,-4.770254620080268,SITTING
-15.435026996856726,-0.5128154116997945,SITTING
-15.995010243683108,3.641552787066511,SITTING
-16.2052171617083,8.952947969043057,SITTING
-16.14576803155365,8.018323762873893,SITTING
-13.06720482445872,-4.560284406057997,SITTING
-13.845324404311087,-1.7708194831137098,SITTING
-14.928008280597002,1.3316675511994938,SITTING
-15.41049985393507,4.671898620223865,SITTING
-15.513095183722998,4.755581330142502,SITTING
-15.975076645386396,3.644092204146757,SITTING
-16.01750636855423,4.262850167221535,SITTING
-16.031416809485826,5.670469199624659,SITTING
-16.004872624380386,6.184722098785212,SITTING
-15.804914826219868,5.931423831046556,SITTING
-15.827401856411386,5.642693755163399,SITTING
